product_id,title,description,category,price,avg_rating,num_reviews
P16,External SSD 1TB USB 3.2,Compact and lightweight External SSD 1TB USB 3.2 suitable for remote work and travel. Plug-and-play setup with no drivers required.,Electronics,281.3,4.4,1413
P17,HDMI 2.1 Cable 2m,Compact and lightweight HDMI 2.1 Cable 2m suitable for remote work and travel. Plug-and-play setup with no drivers required.,Electronics,220.08,3.5,3120
P18,RGB Gaming Mouse Pad XL,Next-generation RGB Gaming Mouse Pad XL with advanced connectivity options. Engineered for reliability and optimised for both productivity and entertainment.,Electronics,296.9,4.4,4574
P19,Laptop Privacy Screen Filter,"High-performance Laptop Privacy Screen Filter designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,206.95,4.7,470
P20,Compact Card Reader Multi-Slot,"High-performance Compact Card Reader Multi-Slot designed for professional and home use. Features premium build quality, extended battery life, and compatibility with all major platforms.",Electronics,247.42,4.6,3298
P21,Introduction to Machine Learning with Python,In-depth guide to Introduction to Machine Learning with Python. Written by leading experts in the field with real-world case studies and best practices throughout.,Books,24.52,4.8,4658
P22,Deep Learning Fundamentals,Practical reference for Deep Learning Fundamentals. Balances theoretical foundations with hands-on implementation guidance.,Books,97.82,4.4,3253
P23,Data Structures and Algorithms in Java,Practical reference for Data Structures and Algorithms in Java. Balances theoretical foundations with hands-on implementation guidance.,Books,140.35,3.7,2032
P24,Clean Code: A Handbook for Agile,Practical reference for Clean Code: A Handbook for Agile. Balances theoretical foundations with hands-on implementation guidance.,Books,170.59,3.7,4800
P25,The Pragmatic Programmer,In-depth guide to The Pragmatic Programmer. Written by leading experts in the field with real-world case studies and best practices throughout.,Books,269.85,3.9,1808
P26,Design Patterns: Elements of Reusable Software,"Comprehensive textbook covering Design Patterns: Elements of Reusable Software. Suitable for students and practitioners. Includes worked examples, exercises, and code samples.",Books,155.3,3.4,397
P27,Statistical Learning Methods,"Comprehensive textbook covering Statistical Learning Methods. Suitable for students and practitioners. Includes worked examples, exercises, and code samples.",Books,50.08,3.5,3470
P28,Natural Language Processing with Transformers,Practical reference for Natural Language Processing with Transformers. Balances theoretical foundations with hands-on implementation guidance.,Books,23.73,3.9,3846
P29,Python for Data Analysis,Practical reference for Python for Data Analysis. Balances theoretical foundations with hands-on implementation guidance.,Books,79.16,4.2,106
P30,Hands-On Reinforcement Learning,Practical reference for Hands-On Reinforcement Learning. Balances theoretical foundations with hands-on implementation guidance.,Books,217.6,4.4,4410
P31,Computer Networks: A Top-Down Approach,In-depth guide to Computer Networks: A Top-Down Approach. Written by leading experts in the field with real-world case studies and best practices throughout.,Books,231.73,3.8,2416
P32,Operating System Concepts,In-depth guide to Operating System Concepts. Written by leading experts in the field with real-world case studies and best practices throughout.,Books,51.65,3.2,2169
P33,Cracking the Coding Interview,Practical reference for Cracking the Coding Interview. Balances theoretical foundations with hands-on implementation guidance.,Books,229.77,4.1,883
P34,The Art of Computer Programming Vol 1,Practical reference for The Art of Computer Programming Vol 1. Balances theoretical foundations with hands-on implementation guidance.,Books,93.03,4.4,1641
P35,Algorithms Illuminated Part 1,"Comprehensive textbook covering Algorithms Illuminated Part 1. Suitable for students and practitioners. Includes worked examples, exercises, and code samples.",Books,115.29,3.5,4356
P36,Database Internals,"Comprehensive textbook covering Database Internals. Suitable for students and practitioners. Includes worked examples, exercises, and code samples.",Books,181.68,4.1,928
P37,Building Microservices,In-depth guide to Building Microservices. Written by leading experts in the field with real-world case studies and best practices throughout.,Books,264.21,4.7,2531
P38,Site Reliability Engineering,"Comprehensive textbook covering Site Reliability Engineering. Suitable for students and practitioners. Includes worked examples, exercises, and code samples.",Books,22.08,4.8,657
P39,Kubernetes in Action,"Comprehensive textbook covering Kubernetes in Action. Suitable for students and practitioners. Includes worked examples, exercises, and code samples.",Books,220.9,4.7,4375
P40,Distributed Systems: Principles and Paradigms,"Comprehensive textbook covering Distributed Systems: Principles and Paradigms. Suitable for students and practitioners. Includes worked examples, exercises, and code samples.",Books,42.87,4.1,4515
P41,Stainless Steel French Press 1L,Premium quality Stainless Steel French Press 1L crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,83.18,4.8,3478
P42,Ceramic Pour-Over Coffee Dripper,Premium quality Ceramic Pour-Over Coffee Dripper crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,279.02,4.6,1659
P43,Insulated Travel Mug 500ml,Eco-conscious Insulated Travel Mug 500ml made from sustainable materials. BPA-free and durable for long-term use in any kitchen.,Home & Kitchen,96.95,5.0,3071
P44,Bamboo Cutting Board Large,Thoughtfully designed Bamboo Cutting Board Large combining functionality and style. Perfect for the modern kitchen. Easy to clean and store.,Home & Kitchen,270.38,4.0,2042
P45,Cast Iron Skillet 12-inch,Premium quality Cast Iron Skillet 12-inch crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,23.88,3.2,4549
P46,Silicone Baking Mat Set of 2,Premium quality Silicone Baking Mat Set of 2 crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,178.58,3.2,494
P47,Adjustable Measuring Cups Set,Premium quality Adjustable Measuring Cups Set crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,24.87,3.3,2718
P48,Herb Garden Indoor Kit,Premium quality Herb Garden Indoor Kit crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,156.67,3.7,3988
P49,Compost Bin Kitchen Counter,Premium quality Compost Bin Kitchen Counter crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,164.06,4.5,4689
P50,Glass Meal Prep Containers 10-Pack,Eco-conscious Glass Meal Prep Containers 10-Pack made from sustainable materials. BPA-free and durable for long-term use in any kitchen.,Home & Kitchen,144.43,4.6,3346
P51,Electric Kettle Variable Temperature,Premium quality Electric Kettle Variable Temperature crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,32.82,4.4,2914
P52,Digital Kitchen Scale 5kg,Thoughtfully designed Digital Kitchen Scale 5kg combining functionality and style. Perfect for the modern kitchen. Easy to clean and store.,Home & Kitchen,126.27,4.8,455
P53,Knife Sharpener Professional 3-Stage,Eco-conscious Knife Sharpener Professional 3-Stage made from sustainable materials. BPA-free and durable for long-term use in any kitchen.,Home & Kitchen,197.76,4.4,508
P54,Reusable Beeswax Wraps Set,Thoughtfully designed Reusable Beeswax Wraps Set combining functionality and style. Perfect for the modern kitchen. Easy to clean and store.,Home & Kitchen,219.81,4.6,907
P55,Stainless Steel Water Bottle 750ml,Premium quality Stainless Steel Water Bottle 750ml crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,61.51,4.2,1160
P56,Collapsible Silicone Colander,Thoughtfully designed Collapsible Silicone Colander combining functionality and style. Perfect for the modern kitchen. Easy to clean and store.,Home & Kitchen,59.12,4.0,629
P57,Wooden Spoon Set 6-Piece,Thoughtfully designed Wooden Spoon Set 6-Piece combining functionality and style. Perfect for the modern kitchen. Easy to clean and store.,Home & Kitchen,243.36,4.7,814
P58,Ceramic Mixing Bowl Set 3-Piece,Premium quality Ceramic Mixing Bowl Set 3-Piece crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,197.37,4.2,132
P59,Non-Stick Frying Pan 28cm,Premium quality Non-Stick Frying Pan 28cm crafted from food-safe materials. Dishwasher safe and built to last. Ideal for everyday use and entertaining.,Home & Kitchen,278.27,4.7,1374
P60,Magnetic Knife Strip Wall Mount,Thoughtfully designed Magnetic Knife Strip Wall Mount combining functionality and style. Perfect for the modern kitchen. Easy to clean and store.,Home & Kitchen,148.25,3.6,3297
P61,Adjustable Dumbbell Set 2–24kg,Professional-grade Adjustable Dumbbell Set 2–24kg designed for home and gym use. Durable construction withstands heavy training sessions.,Sports & Fitness,53.56,3.2,3210
P62,Resistance Bands Set 5 Levels,"High-performance Resistance Bands Set 5 Levels engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,278.31,4.6,2348
P63,Yoga Mat Non-Slip 6mm,"High-performance Yoga Mat Non-Slip 6mm engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,210.48,4.5,4564
P64,Foam Roller Deep Tissue Massage,Compact and versatile Foam Roller Deep Tissue Massage for effective full-body workouts. Easy to set up and store when not in use.,Sports & Fitness,216.92,3.5,2442
P65,Pull-Up Bar Doorframe No-Screw,Professional-grade Pull-Up Bar Doorframe No-Screw designed for home and gym use. Durable construction withstands heavy training sessions.,Sports & Fitness,290.76,4.2,4453
P66,Jump Rope Speed Bearing,Professional-grade Jump Rope Speed Bearing designed for home and gym use. Durable construction withstands heavy training sessions.,Sports & Fitness,225.64,3.3,4797
P67,Kettlebell 16kg Competition Grade,"High-performance Kettlebell 16kg Competition Grade engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,153.33,4.7,1301
P68,Ab Roller Wheel with Knee Pad,Professional-grade Ab Roller Wheel with Knee Pad designed for home and gym use. Durable construction withstands heavy training sessions.,Sports & Fitness,288.42,3.3,1534
P69,Resistance Loop Bands Set 12,Professional-grade Resistance Loop Bands Set 12 designed for home and gym use. Durable construction withstands heavy training sessions.,Sports & Fitness,180.53,4.4,1938
P70,Weightlifting Gloves Wrist Support,"High-performance Weightlifting Gloves Wrist Support engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,40.36,4.8,2028
P71,Gym Bag Waterproof 35L,Compact and versatile Gym Bag Waterproof 35L for effective full-body workouts. Easy to set up and store when not in use.,Sports & Fitness,180.37,4.3,3446
P72,Running Belt Phone Holder,Compact and versatile Running Belt Phone Holder for effective full-body workouts. Easy to set up and store when not in use.,Sports & Fitness,177.17,4.1,2148
P73,Massage Gun Percussive Therapy,Professional-grade Massage Gun Percussive Therapy designed for home and gym use. Durable construction withstands heavy training sessions.,Sports & Fitness,202.56,3.8,2187
P74,Compression Knee Sleeves Pair,"High-performance Compression Knee Sleeves Pair engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,43.6,4.4,3757
P75,Balance Board Wobble Trainer,"High-performance Balance Board Wobble Trainer engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,279.05,4.9,88
P76,Skipping Rope Weighted 500g,"High-performance Skipping Rope Weighted 500g engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,188.23,4.2,831
P77,Push-Up Handles Rotating,Professional-grade Push-Up Handles Rotating designed for home and gym use. Durable construction withstands heavy training sessions.,Sports & Fitness,163.59,4.1,1097
P78,Suspension Trainer Full Body,"High-performance Suspension Trainer Full Body engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,264.84,4.8,3039
P79,Heart Rate Monitor Chest Strap,"High-performance Heart Rate Monitor Chest Strap engineered to improve strength, flexibility, and endurance. Suitable for all fitness levels.",Sports & Fitness,51.53,4.7,2490
P80,Agility Ladder Speed Training 6m,Compact and versatile Agility Ladder Speed Training 6m for effective full-body workouts. Easy to set up and store when not in use.,Sports & Fitness,295.23,4.7,4345
P81,Merino Wool Base Layer Top,Premium Merino Wool Base Layer Top made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,202.01,4.2,860
P82,Waterproof Packable Rain Jacket,Premium Waterproof Packable Rain Jacket made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,83.01,4.8,4544
P83,Slim Fit Chino Trousers,Premium Slim Fit Chino Trousers made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,85.33,4.3,2820
P84,Organic Cotton Crew Neck T-Shirt,Premium Organic Cotton Crew Neck T-Shirt made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,207.8,4.7,4152
P85,Fleece Zip-Up Hoodie,Versatile Fleece Zip-Up Hoodie suitable for everyday wear and outdoor adventures. Machine washable and fade-resistant.,Clothing & Apparel,79.07,4.8,428
P86,Running Shorts with Liner 5-inch,Premium Running Shorts with Liner 5-inch made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,192.1,4.7,373
P87,Thermal Compression Tights,Premium Thermal Compression Tights made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,103.39,3.4,2157
P88,Canvas Belt Adjustable Unisex,Premium Canvas Belt Adjustable Unisex made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,223.65,4.2,3515
P89,Wool Blend Scarf Reversible,Performance Wool Blend Scarf Reversible engineered with moisture-wicking and quick-dry technology. Flatlock seams for chafe-free comfort.,Clothing & Apparel,7.84,3.3,1233
P90,Lightweight Down Vest,Performance Lightweight Down Vest engineered with moisture-wicking and quick-dry technology. Flatlock seams for chafe-free comfort.,Clothing & Apparel,15.62,3.9,4538
P91,Recycled Polyester Joggers,Premium Recycled Polyester Joggers made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,131.78,3.3,2999
P92,Quarter-Zip Pullover Sweater,Premium Quarter-Zip Pullover Sweater made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,270.17,3.6,2056
P93,UV Protection Sun Hat Wide Brim,Performance UV Protection Sun Hat Wide Brim engineered with moisture-wicking and quick-dry technology. Flatlock seams for chafe-free comfort.,Clothing & Apparel,35.31,4.6,3341
P94,Merino Hiking Socks 3-Pack,Performance Merino Hiking Socks 3-Pack engineered with moisture-wicking and quick-dry technology. Flatlock seams for chafe-free comfort.,Clothing & Apparel,226.09,4.9,1951
P95,Denim Work Apron Pockets,Premium Denim Work Apron Pockets made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,292.97,4.7,3389
P96,Insulated Gloves Touch Screen,Premium Insulated Gloves Touch Screen made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,57.9,4.9,3384
P97,Bamboo Fibre Underwear 5-Pack,Performance Bamboo Fibre Underwear 5-Pack engineered with moisture-wicking and quick-dry technology. Flatlock seams for chafe-free comfort.,Clothing & Apparel,259.89,4.7,2197
P98,Stretch Woven Shirt Quick Dry,Premium Stretch Woven Shirt Quick Dry made from responsibly sourced materials. Designed for comfort and durability across a wide range of activities.,Clothing & Apparel,237.27,3.4,329
P99,Fleece Neck Gaiter Multifunctional,Versatile Fleece Neck Gaiter Multifunctional suitable for everyday wear and outdoor adventures. Machine washable and fade-resistant.,Clothing & Apparel,70.61,4.7,3782
P100,Waterproof Hiking Boots Mid,Versatile Waterproof Hiking Boots Mid suitable for everyday wear and outdoor adventures. Machine washable and fade-resistant.,Clothing & Apparel,95.02,4.6,1876
P101,Electric Toothbrush Sonic 40000rpm,Clinically formulated Electric Toothbrush Sonic 40000rpm for daily wellness support. Manufactured in GMP-certified facilities with third-party tested ingredients.,Health & Personal Care,11.97,3.5,2701
P102,Water Flosser Cordless,Premium Water Flosser Cordless developed with dermatologist input. Suitable for all skin types. Fragrance-free and hypoallergenic.,Health & Personal Care,259.97,4.9,2298
P103,Vitamin D3 + K2 Supplement 90 Caps,Premium Vitamin D3 + K2 Supplement 90 Caps developed with dermatologist input. Suitable for all skin types. Fragrance-free and hypoallergenic.,Health & Personal Care,194.23,3.9,4404
P104,Magnesium Glycinate 400mg,Premium Magnesium Glycinate 400mg developed with dermatologist input. Suitable for all skin types. Fragrance-free and hypoallergenic.,Health & Personal Care,282.06,3.4,2151
P105,Omega-3 Fish Oil 1000mg 120 Softgels,Clinically formulated Omega-3 Fish Oil 1000mg 120 Softgels for daily wellness support. Manufactured in GMP-certified facilities with third-party tested ingredients.,Health & Personal Care,176.26,5.0,325
P106,Probiotic 50 Billion CFU,Clinically formulated Probiotic 50 Billion CFU for daily wellness support. Manufactured in GMP-certified facilities with third-party tested ingredients.,Health & Personal Care,180.98,3.8,2581
P107,Sleep Mask Contoured 3D,Premium Sleep Mask Contoured 3D developed with dermatologist input. Suitable for all skin types. Fragrance-free and hypoallergenic.,Health & Personal Care,183.82,4.1,3167
P108,White Noise Machine Portable,Advanced White Noise Machine Portable combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,61.06,3.3,3584
P109,Jade Roller Face Massage,Clinically formulated Jade Roller Face Massage for daily wellness support. Manufactured in GMP-certified facilities with third-party tested ingredients.,Health & Personal Care,158.37,4.7,1626
P110,Derma Roller 0.25mm Titanium,Premium Derma Roller 0.25mm Titanium developed with dermatologist input. Suitable for all skin types. Fragrance-free and hypoallergenic.,Health & Personal Care,132.22,4.9,2716
P111,SPF 50 Mineral Sunscreen 100ml,Advanced SPF 50 Mineral Sunscreen 100ml combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,97.6,4.7,2472
P112,Retinol Serum 1% Pure,Advanced Retinol Serum 1% Pure combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,96.23,3.9,3308
P113,Hyaluronic Acid Moisturiser 50ml,Advanced Hyaluronic Acid Moisturiser 50ml combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,92.21,3.4,3456
P114,Niacinamide Serum 10%,Advanced Niacinamide Serum 10% combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,282.4,4.4,1437
P115,Bamboo Charcoal Face Mask 10-Pack,Advanced Bamboo Charcoal Face Mask 10-Pack combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,172.88,3.9,15
P116,Essential Oil Diffuser 300ml,Premium Essential Oil Diffuser 300ml developed with dermatologist input. Suitable for all skin types. Fragrance-free and hypoallergenic.,Health & Personal Care,89.63,4.0,4763
P117,Resistance Band Hip Circle Booty,Advanced Resistance Band Hip Circle Booty combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,198.13,4.0,3634
P118,Foot Massager Shiatsu Electric,Advanced Foot Massager Shiatsu Electric combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,68.03,4.1,1402
P119,Posture Corrector Adjustable,Advanced Posture Corrector Adjustable combining proven ingredients with innovative delivery for maximum efficacy. Easy to incorporate into daily routines.,Health & Personal Care,30.0,4.1,2757
P120,Digital Thermometer Infrared,Clinically formulated Digital Thermometer Infrared for daily wellness support. Manufactured in GMP-certified facilities with third-party tested ingredients.,Health & Personal Care,246.42,4.6,2554
P121,Mechanical Pencil Set 0.5mm,"Professional Mechanical Pencil Set 0.5mm built for high-volume office environments. Reliable performance and clean, modern design.",Office Supplies,242.93,3.5,390
P122,Desk Organiser Bamboo 6-Slot,"Professional Desk Organiser Bamboo 6-Slot built for high-volume office environments. Reliable performance and clean, modern design.",Office Supplies,295.25,4.3,608
P123,Self-Healing Cutting Mat A3,Compact Self-Healing Cutting Mat A3 that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,127.25,4.3,1604
P124,Whiteboard Markers 12-Pack Dry Erase,Durable Whiteboard Markers 12-Pack Dry Erase designed for everyday office use. Arrives ready to use straight from the box.,Office Supplies,210.41,4.1,2010
P125,Spiral Notebook A5 Dot Grid,"Professional Spiral Notebook A5 Dot Grid built for high-volume office environments. Reliable performance and clean, modern design.",Office Supplies,198.53,3.2,885
P126,Document Scanner Portable Wand,Compact Document Scanner Portable Wand that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,69.55,4.6,4255
P127,Label Maker Handheld Bluetooth,Compact Label Maker Handheld Bluetooth that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,19.8,3.6,1006
P128,Binder Clips Assorted 100-Pack,Compact Binder Clips Assorted 100-Pack that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,44.33,4.0,4363
P129,Adjustable Monitor Arm Single,Durable Adjustable Monitor Arm Single designed for everyday office use. Arrives ready to use straight from the box.,Office Supplies,180.65,4.9,3637
P130,Cable Management Box with Lid,Durable Cable Management Box with Lid designed for everyday office use. Arrives ready to use straight from the box.,Office Supplies,245.42,4.8,3507
P131,Sticky Notes Pastel 12-Pack,Durable Sticky Notes Pastel 12-Pack designed for everyday office use. Arrives ready to use straight from the box.,Office Supplies,136.53,3.5,3900
P132,Laminator Pouch Machine A4,Compact Laminator Pouch Machine A4 that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,81.45,3.6,2283
P133,Paper Shredder Micro-Cut 8-Sheet,Durable Paper Shredder Micro-Cut 8-Sheet designed for everyday office use. Arrives ready to use straight from the box.,Office Supplies,147.95,3.6,3615
P134,Ergonomic Seat Cushion Memory Foam,"Professional Ergonomic Seat Cushion Memory Foam built for high-volume office environments. Reliable performance and clean, modern design.",Office Supplies,215.49,3.6,2763
P135,Desk Calendar Refillable 2025,Compact Desk Calendar Refillable 2025 that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,268.43,3.3,1247
P136,File Folders Hanging 25-Pack,"Professional File Folders Hanging 25-Pack built for high-volume office environments. Reliable performance and clean, modern design.",Office Supplies,117.99,3.5,1764
P137,Pen Holder Magnetic Acrylic,"Professional Pen Holder Magnetic Acrylic built for high-volume office environments. Reliable performance and clean, modern design.",Office Supplies,127.38,3.8,3828
P138,Stapler Heavy Duty 70-Sheet,Compact Stapler Heavy Duty 70-Sheet that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,23.36,4.7,3202
P139,Correction Tape Twist-Up 5-Pack,Durable Correction Tape Twist-Up 5-Pack designed for everyday office use. Arrives ready to use straight from the box.,Office Supplies,284.08,3.2,4728
P140,Planner Weekly Undated Hardcover,Compact Planner Weekly Undated Hardcover that keeps your workspace organised and efficient. Compatible with standard office setups.,Office Supplies,145.7,4.9,2458
P141,Strategy Board Game 2–4 Players,Educational Strategy Board Game 2–4 Players designed to develop STEM skills through hands-on play. Includes full instructions and all components.,Toys & Games,256.76,4.9,3444
P142,Wooden Building Blocks 100-Piece,Award-winning Wooden Building Blocks 100-Piece combining fun gameplay with developmental benefits. Durable materials safe for children.,Toys & Games,225.51,4.2,1818
P143,STEM Robot Kit Ages 8+,Educational STEM Robot Kit Ages 8+ designed to develop STEM skills through hands-on play. Includes full instructions and all components.,Toys & Games,69.72,4.0,249
P144,Card Game Family Party 250 Cards,Educational Card Game Family Party 250 Cards designed to develop STEM skills through hands-on play. Includes full instructions and all components.,Toys & Games,104.15,4.4,3324
P145,Magnetic Tiles 3D Building Set 60pc,Award-winning Magnetic Tiles 3D Building Set 60pc combining fun gameplay with developmental benefits. Durable materials safe for children.,Toys & Games,53.68,4.0,1057
P146,Puzzle 1000 Piece Landscape,Award-winning Puzzle 1000 Piece Landscape combining fun gameplay with developmental benefits. Durable materials safe for children.,Toys & Games,162.56,4.8,4635
P147,Remote Control Car Off-Road 1:16,Award-winning Remote Control Car Off-Road 1:16 combining fun gameplay with developmental benefits. Durable materials safe for children.,Toys & Games,12.99,4.4,1123
P148,Science Kit Experiments Ages 6+,Educational Science Kit Experiments Ages 6+ designed to develop STEM skills through hands-on play. Includes full instructions and all components.,Toys & Games,58.6,3.7,2693
P149,Chess Set Weighted Staunton,Engaging Chess Set Weighted Staunton that encourages creative thinking and problem-solving. Suitable for the stated age range with parental supervision.,Toys & Games,139.13,3.8,3117
P150,Watercolour Paint Set 36 Colours,Educational Watercolour Paint Set 36 Colours designed to develop STEM skills through hands-on play. Includes full instructions and all components.,Toys & Games,226.83,4.7,2078
P151,Kinetic Sand Activity Set 1kg,Engaging Kinetic Sand Activity Set 1kg that encourages creative thinking and problem-solving. Suitable for the stated age range with parental supervision.,Toys & Games,143.73,4.5,438
P152,Foam Dart Blaster Team Pack,Educational Foam Dart Blaster Team Pack designed to develop STEM skills through hands-on play. Includes full instructions and all components.,Toys & Games,71.14,3.3,341
P153,Tabletop Miniature Painting Kit,Engaging Tabletop Miniature Painting Kit that encourages creative thinking and problem-solving. Suitable for the stated age range with parental supervision.,Toys & Games,285.13,3.6,178
P154,Gravity Maze Marble Run Logic,Award-winning Gravity Maze Marble Run Logic combining fun gameplay with developmental benefits. Durable materials safe for children.,Toys & Games,49.94,3.4,949
P155,Wooden Sudoku Board Game,Award-winning Wooden Sudoku Board Game combining fun gameplay with developmental benefits. Durable materials safe for children.,Toys & Games,284.58,4.0,2111
P156,Modelling Clay Air-Dry 500g,Educational Modelling Clay Air-Dry 500g designed to develop STEM skills through hands-on play. Includes full instructions and all components.,Toys & Games,54.49,4.3,950
P157,Telescope Beginner 70mm Aperture,Engaging Telescope Beginner 70mm Aperture that encourages creative thinking and problem-solving. Suitable for the stated age range with parental supervision.,Toys & Games,289.58,3.4,222
